"country","AG.LND.AGRI.ZS","EN.ATM.CO2E.PC","EN.POP.DNST","NY.GDP.PCAP.CD","SE.SEC.ENRR","SH.DYN.MORT","SP.POP.TOTL"
"Afghanistan",58.0675795729559,0.299444990875517,50.1761786600496,625.3395388285,54.0150108337402,76,32758020
"Albania",42.8573006957117,1.97876331208568,105.441751824818,4578.66793446159,96.3285522460938,9.7,2889104
"Antigua and Barbuda",20.4545454545455,5.37764854614412,224.715909090909,12900.9030032308,93.5812835693359,8.3,98875
"Argentina",54.3357121193851,4.74679745467325,15.7056571990251,12245.2564487696,106.778343200684,12,42981515
"Armenia",59.0340692368065,1.9027589101995,102.080084299262,3994.71235479566,85.9167098999023,14.7,2906220
"Austria",32.8902247302037,6.86986792967669,103.563324191706,51717.4959405515,99.4277801513672,3.8,8546356
"Bahrain",11.1543457220124,23.4497548258489,1733.32947658691,24983.3790153356,98.8924407958984,7.7,1336397
"Barbados",27.906976744186,4.49017767348307,659.03488372093,16261.7993189477,109.247566223145,13.4,283385
"Belarus",42.4879174012708,6.70195770525782,46.6786746775327,8318.51268992675,104.774909973145,4.3,9474511
"Belgium",43.966316011497,8.32815989783976,370.180217965654,47355.3120057387,162.298904418945,4.1,11209057
"Belize",7.01446733888645,1.407601494481,15.4184129767646,4813.7180332903,79.8806991577148,16.4,351694
"Benin",33.2564739269244,0.61421385181193,91.2266051791415,943.686575031401,56.2371711730957,106.2,10286712
"Bhutan",13.7891224996434,1.28932137116716,20.370123827855,2522.79495302098,81.5959320068359,34.8,776448
"Bolivia",34.8029170128312,1.93241949870287,9.74998523031478,3124.00030982516,85.3800811767578,39,10562159
"Brazil",33.9284816956883,2.59438828549778,24.4328442691795,12026.6193906313,100.837966918945,16.2,204213133
"Brunei Darussalam",2.73244774545167,22.1247012416688,78.1222011385199,41530.6689792581,98.938117980957,10.5,411704
"Bulgaria",45.8456153279293,5.87161586934993,66.5432756079587,7864.76067225524,104.163619995117,8.8,7223938
"Burkina Faso",44.2251461988304,0.162018806234081,64.2762317251462,703.821656461717,30.3541507720947,92.6,17585977
"Burundi",79.1666666666667,0.0444853762564713,385.194314641745,273.538284989312,40.0777816772461,70.8,9891790
"Cabo Verde",19.6029776674938,0.933403237234465,130.62952853598,3532.99352680108,86.3795166015625,21,526437
"Cameroon",20.6257536333058,0.314928068034826,47.0476698187049,1571.18253466367,59.1169204711914,93.8,22239904
"Canada",6.8885830045274,15.1171587794778,3.90777026692663,50633.2088224323,109.811660766602,5.4,35535348
"Chad",39.6561308767471,0.0537776877715938,10.7762372935197,1025.99851471508,23.1315994262695,134.7,13569438
"Chile",21.1977420378451,4.68737662371284,23.6893600540495,14794.315829612,99.4184494018555,8.1,17613798
"Colombia",40.547237635196,1.75953717356061,43.0751789094187,7974.40637302503,98.7615585327148,16.2,47791911
"Comoros",71.466950907041,0.202814119320239,408.052109131904,1511.82603748603,61.0905685424805,75.5,759385
"Congo, Dem. Rep.",11.5568690589092,0.0633691910487466,32.5192915903928,487.081486881176,45.529541015625,101,73722860
"Costa Rica",34.862905906501,1.63095106225335,93.1761652957305,10630.9979007564,120.327590942383,9.5,4757575
"Cote d'Ivoire",64.7798742138365,0.490206046242236,70.8533018867925,1568.62762832733,39.6233901977539,97.7,22531350
"Croatia",26.962116669552,3.97380490559031,75.7396175839886,13606.8934415442,98.727897644043,4.9,4238389
"Cuba",60.3625279393386,3.04521062360798,109.976610267256,7050.49324868243,98.9940490722656,5.7,11439767
"Cyprus",11.7943726576768,5.26035204098901,124.708766233766,27407.1528617811,99.4167327880859,3,1152309
"Czech Republic",45.5322455322455,9.16597837581982,136.30337995338,19744.5586092159,104.646461486816,3.1,10525347
"Denmark",62.610145272684,5.9357124821143,134.400452488688,62548.9850174371,129.336334228516,4.2,5643475
"Djibouti",73.4253666954271,0.791961752491876,39.3513373597929,1595.1463648488,42.8000183105469,67.8,912164
"Dominica",33.3333333333333,1.86428591057737,97.0373333333333,7193.66811093706,97.1021881103516,28.9,72778
"Dominican Republic",48.6855723452701,2.0699866344335,215.397309045746,6348.83776943483,80.1446075439453,32.3,10405844
"Ecuador",22.5547600068952,2.76170217502084,64.032501207924,6396.63048339218,107.700393676758,15.5,15903112
"Egypt, Arab Rep.",3.73217132091642,2.19898024634231,92.2322226128886,3327.75424726108,83.1927795410156,24.7,91812566
"El Salvador",76.8822393822394,1.00064462317564,303.146187258687,3595.7907332513,77.2346496582031,16.2,6281189
"Estonia",22.4062571888659,14.848819173174,30.2402806533241,20247.1993011108,108.191513061523,3.3,1314545
"Eswatini",71.046511627907,0.92871499200446,75.2963372093023,3379.89649909261,64.7619094848633,62.2,1295097
"Finland",7.46026554890339,8.66072124349448,17.9720030274112,49914.6186421589,146.423187255859,2.5,5461512
"France",52.5360837509851,4.5731821471024,121.112674929172,43008.6525700318,104.11994934082,4.1,66316092
"Georgia",34.7684567361311,2.41646049619644,65.2052206165366,4438.68465004563,98.5005035400391,12.8,3719414
"Germany",47.9363714531384,8.88937039483839,232.108053883634,48142.8272014491,101.08097076416,3.9,80982500
"Ghana",68.9988573437637,0.536533377780147,118.495925991035,1987.98336285419,64.7497482299805,58,26962563
"Greece",48.1070597362296,6.18033726778447,84.5028161365399,21760.9797994918,99.1205978393555,4.4,10892413
"Grenada",23.5294117647059,2.27549830763445,312.823529411765,8569.92673380413,100.859840393066,15.9,106360
"Guatemala",35.4031359539766,1.15097799430391,148.59610862262,3687.76376676599,52.6142692565918,30.6,15923559
"Guinea",59.0102555754517,0.207492620606193,48.0445588474687,743.591287839295,40.302188873291,94.9,11805509
"Honduras",28.9123246045223,1.07522179045218,78.7310394137099,2242.70745940423,52.0167007446289,20.3,8809216
"Hungary",58.1464707831658,4.2655749757664,108.985618027173,14197.8369994803,104.155250549316,5.4,9866468
"Iceland",18.6753112336347,6.05965740746397,3.2656957605985,54242.0546770039,118.615676879883,2.3,327386
"India",60.4471964455686,1.73000043156161,435.175449264931,1576.00401817673,74.2842102050781,46.7,1293859294
"Indonesia",31.4644203646561,1.81936331905513,140.834257577681,3491.59588685069,83.5586700439453,28.3,255131116
"Iran, Islamic Rep.",28.2141015250866,8.28302078741615,48.141587465311,5540.98413566175,88.1012496948242,16.6,78411092
"Ireland",64.8279866453767,7.31393980771791,67.6112643344462,55628.1827105136,116.739097595215,3.8,4657740
"Israel",24.8475051851678,7.86318134790706,379.653419593346,37733.8565762627,101.850402832031,4,8215700
"Italy",44.747399197661,5.27086678640296,206.667369279935,35396.6657242265,102.803497314453,3.6,60789140
"Jamaica",40.9972299168975,2.59321537046218,264.273961218837,4839.89210430559,81.6737365722656,16.7,2862087
"Japan",12.393021724819,9.53870610327163,349.122229536976,38109.4121125573,101.388618469238,2.8,127276000
"Jordan",11.9846812345123,3.00251472703979,99.2262446496959,4066.94077543088,70.0844421386719,18.7,8809306
"Kazakhstan",80.376338111642,14.3631697418223,6.40378004963514,12807.2606866152,105.756378173828,13.2,17288285
"Korea, Rep.",17.9441655427294,11.5703454093401,520.852499230217,27811.36638377,100.51197052002,3.6,50746659
"Kuwait",8.53535387786285,25.2238644264961,212.258698092031,42996.3152212942,93.3545074462891,9.1,3782450
"Kyrgyz Republic",55.0422294545099,1.64639533887413,30.4249217935349,1279.76978265986,92.0698699951172,23.5,5835500
"Lao PDR",10.2642980935875,0.297200883705774,28.4939211438475,2017.58778126205,59.008129119873,70.1,6576397
"Latvia",30.106143454487,3.49819288166911,32.0646831778707,15716.3690672011,113.706932067871,5.5,1993782
"Lebanon",64.3206256109482,4.29573255231446,547.730107526882,8660.03692753065,61.7941589355469,8.7,5603279
"Lesotho",75.0098830312296,1.15011103162712,70.6780303030303,1218.46610643407,52.1450119018555,94.7,2145785
"Liberia",28.031561461794,0.21296766351526,45.58489410299,716.052908657476,37.9709815979004,83,4390737
"Lithuania",47.1252977229649,4.37809012309851,46.805538707103,16545.1226673996,108.184776306152,5,2932367
"Luxembourg",53.9053520548,17.3621213728095,228.937860082305,118823.648368575,102.275848388672,2.7,556319
"Madagascar",71.1842557579924,0.130421320637677,40.5462375386731,452.463192574895,38.3542213439941,49.9,23589801
"Malawi",61.4128128977514,0.0747629100469522,181.044102672889,354.318989805753,38.1078186035156,65.7,17068838
"Malaysia",24.6203013239994,8.03299157864044,92.0043128899711,11183.729432082,84.7039794921875,7.5,30228017
"Mali",33.7660528278383,0.0832286633976398,13.9018070956163,845.720640984484,43.9408416748047,117.7,16962846
"Malta",31.9687485694884,5.40061395717027,1357.99375,25811.8780046703,94.2537307739258,6.6,434558
"Mauritania",38.5281847288251,0.666822427606843,3.9428737751043,1326.66865421644,29.6794490814209,86.8,4063920
"Mauritius",42.3645320197044,3.35311047207863,621.149753694581,10153.9382184867,99.9038467407227,14.7,1260934
"Mexico",55.0045011445768,3.86624111265674,63.9016435607912,10582.4105262309,91.8336029052734,15.4,124221600
"Moldova",74.7794341344691,1.38682914196587,123.886055665865,2244.75530830835,87.3207626342773,16.3,3556397
"Mozambique",63.5189094330985,0.309666606914455,34.6046211755131,623.286753930288,32.5639610290527,83.2,27212382
"Myanmar",19.342193911925,0.416600361658081,79.5066178722362,1260.418503807,52.4814300537109,54.4,51924182
"Nauru",20.0000002980232,4.02185100818358,592.65,9872.63831364996,82.7697296142578,35.9,11853
"Nepal",28.7478200209278,0.283538525834667,197.581032438089,706.238697681072,66.8816528320313,38.3,28323241
"Netherlands",54.5888980583538,9.92013807523839,500.593885425942,52830.1742328055,130.667236328125,4.1,16865008
"New Zealand",42.2163989214234,7.68657582544293,17.1269606167635,44560.6403694048,115.383018493652,5.7,4509700
"Niger",36.063787795058,0.111073515505541,15.1166171942844,429.790957778857,18.6600799560547,98.6,19148219
"Nigeria",77.7364208307256,0.545622113213755,193.74869835414,3221.67811590831,45.6017112731934,111.6,176460502
"North Macedonia",50,3.61493818276338,82.3749008723236,5469.21789842179,80.5687713623047,11.4,2077495
"Norway",2.70256871908215,9.27094513154166,14.0698665657304,97199.9190963458,112.770469665527,2.8,5137232
"Pakistan",47.0267745952677,0.896264105182138,240.69408597966,1316.98096583434,41.5108795166016,81.9,185546257
"Palau",10.8695652173913,12.3427040864701,45.8565217391304,11646.6815208116,115.229888916016,16.9,21094
"Panama",30.3605057842346,2.2543113627969,52.5152811407049,12787.3061955961,75.0268325805664,17.8,3903986
"Peru",18.57734375,1.99348594924528,24.1979328125,6492.05320821897,95.6203994750977,16.9,30973354
"Philippines",41.7211657779119,1.05545684592961,335.722067947815,2842.93835295221,87.3297119140625,29.6,100102249
"Poland",47.1080048336001,7.51715158489872,124.144273163722,14345.1860569374,106.148811340332,5,38011735
"Portugal",40.2959016836465,4.33155402784831,113.541775697936,22077.5361325219,115.545562744141,3.7,10401062
"Qatar",5.82256662137133,45.4232399589121,204.514987080103,86852.710189198,83.8008117675781,8.3,2374419
"Romania",60.1095271210014,3.51615369125659,86.5306806328234,10026.9735781794,92.6769409179688,10,19908979
"Russian Federation",13.2944703414022,11.8575277737052,8.78187748941037,14125.9087274314,100.532867431641,9.1,143819666
"Rwanda",73.3481961897041,0.074016445670242,459.884758816376,706.596709795842,39.7998008728027,44.7,11345357
"Samoa",12.3674911660777,1.02978834052733,67.9469964664311,4187.23059850884,86.8340301513672,17.7,192290
"Sao Tome and Principe",50.7291674613953,0.594339819936633,199.235416666667,1824.37921729398,74.4041519165039,36.7,191266
"Saudi Arabia",80.7443384278664,19.5292717983416,14.3168187040922,24575.4030378327,116.64714050293,9.1,30776722
"Senegal",46.0603542305095,0.608809117433519,75.5524385810004,1359.18935082349,49.5381698608398,52.6,14546111
"Serbia",40.0914692698805,5.28252191688301,81.529567802424,6200.17322102474,94.3444137573242,6.6,7130576
"Seychelles",3.36956511373104,5.41867796276229,198.60652173913,14700.3631319351,87.495491027832,14.5,91359
"Slovak Republic",39.2970054994605,5.66158132774424,112.700686356073,18629.7796630086,90.6624603271484,6.2,5418649
"Slovenia",30.5283032202318,6.21368684468327,102.382323733863,24202.4308360444,109.962432861328,2.5,2061980
"South Africa",79.830020855831,8.98011929723466,44.9592124244697,6429.02394967082,101.79606628418,41.3,54539571
"Spain",53.1336838527818,5.03382448723757,92.9227364506907,29623.1644451343,129.848007202148,3.3,46480882
"St. Lucia",17.377049805688,2.30719132076113,289.214754098361,8596.35169828401,87.6979827880859,17.6,176421
"St. Vincent and the Grenadines",25.6410256410256,1.91134540998747,280.402564102564,6654.48400295932,104.686706542969,18.1,109357
"Suriname",0.565384595822065,3.6340194332102,3.51235897435897,9554.56228848744,74.0607299804688,21.6,547928
"Sweden",7.44568007456699,4.47818217821374,23.8052343423928,59241.6063787415,132.945983886719,2.9,9696110
"Thailand",43.2774178394566,4.62186003163084,133.916835326587,5953.79392783362,120.294700622559,11,68416772
"Timor-Leste",25.5548083389375,0.387014002147073,81.5611297915266,3335.54856721641,62.4990081787109,52.9,1212814
"Tonga",45.8333333333333,1.14396589211775,146.919444444444,4196.47059286118,90.110221862793,17.1,105782
"Tunisia",64.836508753862,2.58705958448329,71.7295829042225,4274.29283230237,87.6520614624023,14.5,11143908
"Turkey",50.103296389174,4.49147902571948,100.087870795057,12127.4614576299,103.01725769043,14.4,77030628
"Turkmenistan",72.0064690485817,12.5172953406189,11.632032430362,7962.36582439665,85.8196716308594,52.2,5466241
"Tuvalu",59.9999984105427,1.00852585258526,363.6,3418.64571872645,87.0289916992188,27.4,10908
"Ukraine",71.658409432236,5.02074706440171,78.1507483298521,3104.65829575449,96.7860336303711,9.8,45271947
"United Kingdom",71.2272144835283,6.49744049045117,267.073781672385,46967.6681352092,127.304107666016,4.5,64613160
"United States",44.5880368453619,16.502837239406,34.8061443554576,55032.9594615469,96.9245376586914,6.9,318386421
"Uruguay",82.5597052301165,1.97315082177576,19.5380299394355,16737.8982724965,110.519203186035,9.3,3419546
"Uzbekistan",62.9290079924777,3.42072274584901,72.3030089327692,2050.44841384558,91.7329483032227,27.5,30757700
"Venezuela, RB",24.4884076866391,6.02569758235129,34.8487931523156,15692.412877729,91.3710479736328,19.7,30738378
